qualifying_bills,last_qualifying_bill_date,last_city,total_spend_on_qualifying_bills,total_quantity_in_qualifying_bills,mobile
1,2026-02-14T12:56:50.816828+00:00,Noida,1423.15,2,9000389006
1,2026-04-26T10:08:27.337668+00:00,Bengaluru,1553.34,2,9000490216
1,2026-06-08T11:38:51.734794+00:00,Chennai,7800.78,2,9000229433
1,2026-01-11T06:34:59.376259+00:00,Indore,7924.47,2,9000075266
1,2026-03-01T12:32:08.517404+00:00,Lucknow,6781.39,2,9000163184
1,2026-04-07T02:34:49.692432+00:00,Pune,2865.09,2,9000225669
1,2026-05-08T20:41:46.476884+00:00,Ahmedabad,1357.31,3,9000068809
1,2026-02-04T06:27:57.585365+00:00,Pune,2080.29,2,9000198768
1,2026-02-08T00:18:32.937445+00:00,Mumbai,874.96,3,9000380056
1,2026-03-09T00:47:07.940407+00:00,Hyderabad,3742.38,3,9000193813
1,2026-05-02T16:30:51.876939+00:00,Jaipur,5170.51,2,9000104798
1,2026-03-30T04:23:09.225177+00:00,Noida,1088.24,2,9000499440
1,2026-05-16T18:31:37.365579+00:00,Chandigarh,6114.35,3,9000041405
1,2026-01-31T14:41:11.755835+00:00,Pune,2836.4,3,9000275816
1,2026-02-09T05:50:39.303578+00:00,Chennai,8208.42,2,9000306688
1,2025-12-27T18:05:52.392799+00:00,Hyderabad,6313.75,2,9000307747
1,2026-04-03T08:43:21.729093+00:00,Chennai,7745.92,2,9000503387
1,2025-12-22T03:37:26.170678+00:00,Pune,3418.61,3,9000523257
1,2026-05-29T03:10:44.202711+00:00,Kolkata,724.12,3,9000276663
1,2026-06-09T21:46:33.614125+00:00,Indore,2563.82,3,9000095035
1,2026-05-17T03:06:03.761064+00:00,Ahmedabad,2299.3,2,9000029504
1,2026-01-06T02:09:29.179081+00:00,Bengaluru,5639.13,3,9000013613
1,2026-06-08T07:06:05.854215+00:00,Mumbai,5147.9,3,9000128009
1,2026-03-16T06:38:12.297976+00:00,Bengaluru,488.18,2,9000132535
1,2026-02-07T02:02:06.061619+00:00,Jaipur,6673.87,2,9000468497
1,2026-04-26T09:30:19.823771+00:00,Lucknow,3320.43,2,9000260719
1,2026-02-06T09:30:05.109256+00:00,Mumbai,3618.5,3,9000489742
1,2026-05-29T22:54:03.888162+00:00,Hyderabad,8735.63,2,9000499167
1,2025-12-21T16:15:08.067176+00:00,Ahmedabad,3467.58,3,9000540647
1,2026-06-01T10:43:08.937980+00:00,Hyderabad,2332.74,2,9000060324
1,2026-05-08T13:04:23.564861+00:00,Kolkata,1255.48,2,9000165533
1,2026-03-19T10:32:31.402384+00:00,Chandigarh,5320.61,3,9000401997
1,2026-02-24T13:20:42.447562+00:00,Pune,1320.22,2,9000730982
1,2026-03-30T20:28:10.973488+00:00,Kolkata,1269.25,3,9000782588
1,2026-04-25T23:43:27.264666+00:00,Hyderabad,7346.47,2,9000405515
1,2026-03-01T00:35:14.572179+00:00,Indore,670.31,3,9000153826
1,2026-06-04T12:15:39.102366+00:00,Hyderabad,3596.25,3,9000212871
1,2026-05-19T04:47:26.167854+00:00,Lucknow,7201.28,3,9000047993
1,2026-02-09T01:12:56.047506+00:00,Surat,2433.53,2,9000252537
1,2026-01-07T15:35:26.214670+00:00,Mumbai,4192.2,2,9000377787
1,2026-01-13T01:00:26.541250+00:00,Indore,1810.03,2,9000001500
1,2026-05-31T04:05:01.122650+00:00,Chennai,6318.78,2,9000155530
1,2025-12-23T10:13:51.783513+00:00,Delhi,940.59,3,9000138907
1,2026-05-13T06:15:12.033368+00:00,Noida,8969.13,2,9000140557
1,2026-02-26T05:31:28.915741+00:00,Mumbai,654.4,3,9000129323
1,2026-05-08T11:12:15.006868+00:00,Delhi,8671.65,3,9000147325
1,2026-01-23T19:36:29.940505+00:00,Gurugram,7441.7,2,9000318822
1,2026-02-26T23:58:29.610295+00:00,Gurugram,498.22,2,9000529591
1,2026-01-10T21:04:30.017639+00:00,Delhi,1166.89,3,9000543888
1,2026-02-13T09:47:57.679370+00:00,Jaipur,2446.35,3,9000311548
1,2026-05-11T22:23:41.584757+00:00,Mumbai,1404.81,2,9000230199
1,2026-01-25T10:11:18.960692+00:00,Mumbai,3877.19,2,9000561248
1,2025-12-20T02:09:42.163226+00:00,Chennai,5869.92,3,9000389207
1,2026-02-26T22:51:12.415035+00:00,Lucknow,5974.7,2,9000481829
1,2026-01-17T02:53:31.672846+00:00,Bengaluru,2968.41,3,9000178407
1,2026-03-16T13:13:40.581231+00:00,Delhi,3462.59,2,9000236340
1,2026-05-03T10:47:56.172298+00:00,Pune,7609.26,2,9000564396
1,2026-01-04T09:57:32.336434+00:00,Kolkata,654.74,3,9000094363
1,2026-03-14T07:20:13.023502+00:00,Kolkata,8963.45,3,9000152584
1,2026-03-28T10:35:03.469626+00:00,Surat,5325.64,2,9000299127
1,2026-06-02T15:07:55.857064+00:00,Indore,8406.2,2,9000462277
1,2026-05-05T05:30:20.532681+00:00,Mumbai,7242.13,2,9000494541
1,2026-03-24T06:21:22.004215+00:00,Gurugram,1245.66,2,9000592363
1,2026-05-04T07:04:12.797509+00:00,Gurugram,4205.2,2,9000049349
1,2025-12-12T22:51:06.824993+00:00,Surat,5654.81,2,9000338297
3,2026-05-29T14:56:31.029749+00:00,Delhi,22467.11,7,9000512883
1,2026-04-06T14:53:32.994328+00:00,Delhi,8215.04,2,9000239668
1,2026-03-17T16:20:00.146728+00:00,Bengaluru,1910.3,3,9000505465
1,2026-02-07T00:50:15.991083+00:00,Noida,2180.74,3,9000552890
1,2026-03-22T10:39:15.049918+00:00,Jaipur,2962.31,3,9000703806
1,2026-04-06T21:20:05.872816+00:00,Indore,8951.62,2,9000662711
1,2026-06-03T14:07:10.066155+00:00,Ahmedabad,3096.95,3,9000734515
1,2026-05-30T06:28:55.327409+00:00,Noida,7390.32,2,9000499559
1,2026-01-24T11:57:25.938111+00:00,Hyderabad,2250.83,3,9000219005
1,2026-04-27T05:11:49.355094+00:00,Pune,1096.24,2,9000567003
1,2026-02-27T00:18:24.020032+00:00,Indore,1297.5,3,9000615188
1,2026-03-09T18:34:01.049897+00:00,Mumbai,5489.0,3,9000591577
1,2026-01-20T15:22:03.627160+00:00,Lucknow,2480.8,2,9000594875
1,2026-05-04T16:25:39.688809+00:00,Chennai,1856.37,2,9000602135
1,2026-04-18T13:34:25.900903+00:00,Ahmedabad,4697.36,2,9000034128
1,2026-05-28T07:21:32.923721+00:00,Indore,3859.47,2,9000093289
1,2026-02-28T23:31:55.915429+00:00,Jaipur,6509.87,3,9000386594
1,2026-05-31T16:27:19.856550+00:00,Bengaluru,974.46,2,9000434242
1,2026-02-11T01:28:13.446497+00:00,Mumbai,3122.15,2,9000413523
1,2025-12-22T20:34:01.211724+00:00,Ahmedabad,4194.31,2,9000389146
1,2026-04-21T13:11:47.142128+00:00,Mumbai,6612.88,3,9000482669
1,2025-12-25T01:45:37.064551+00:00,Bengaluru,8753.31,3,9000534581
1,2026-03-11T11:00:09.039321+00:00,Mumbai,3249.83,2,9000377982
1,2026-03-23T05:44:19.006720+00:00,Chennai,2215.65,3,9000107377
1,2026-03-03T07:53:08.514623+00:00,Ahmedabad,3037.72,2,9000408529
1,2026-02-16T23:14:11.269063+00:00,Kolkata,7804.03,3,9000496928
1,2026-03-21T18:29:18.857409+00:00,Surat,1313.37,3,9000624230
1,2026-05-19T12:42:07.213105+00:00,Pune,6460.94,2,9000444299
1,2026-02-03T22:28:40.448856+00:00,Noida,3692.43,2,9000663440
1,2026-01-17T11:39:06.734811+00:00,Ahmedabad,7677.5,3,9000665022
1,2026-02-17T18:38:36.757050+00:00,Bengaluru,4127.9,3,9000727393
1,2026-03-29T03:17:01.919068+00:00,Noida,962.2,3,9000401245
1,2026-02-17T05:49:04.816169+00:00,Surat,3937.65,3,9000789445
1,2026-05-24T04:10:17.797669+00:00,Delhi,3871.5,2,9000741651
1,2025-12-26T11:37:39.198809+00:00,Indore,6559.12,3,9000677699
1,2026-01-19T18:12:57.569082+00:00,Chennai,7549.69,3,9000435914
1,2026-02-15T18:14:06.448447+00:00,Chandigarh,7534.17,3,9000097903
1,2026-02-09T05:49:19.422204+00:00,Bengaluru,8495.21,2,9000098731
1,2026-06-05T21:15:54.382321+00:00,Noida,2315.03,3,9000300346
1,2026-04-17T03:33:17.678293+00:00,Lucknow,2770.87,3,9000375425
1,2026-03-29T08:15:38.264952+00:00,Chandigarh,6200.35,3,9000083066
1,2026-05-16T23:17:30.149070+00:00,Chandigarh,8330.97,3,9000284118
1,2026-02-10T22:08:27.725512+00:00,Gurugram,3057.99,2,9000027828
1,2026-01-16T05:06:41.920590+00:00,Mumbai,3643.88,3,9000177968
1,2026-06-01T21:50:49.697131+00:00,Indore,7228.66,3,9000337946
1,2026-04-18T12:34:46.610711+00:00,Noida,3478.74,2,9000448644
1,2026-03-24T22:03:49.482266+00:00,Kolkata,3495.09,3,9000503963
1,2026-01-16T09:53:04.964523+00:00,Gurugram,8544.54,3,9000596234
1,2026-03-07T18:49:11.604924+00:00,Bengaluru,5042.58,3,9000456626
1,2026-01-22T10:53:22.122751+00:00,Indore,658.51,2,9000636003
1,2025-12-12T02:02:56.061904+00:00,Bengaluru,4204.32,3,9000171211
1,2026-05-21T00:00:54.340369+00:00,Chennai,493.2,2,9000226050
1,2026-05-31T08:07:19.836287+00:00,Mumbai,1257.26,3,9000618434
1,2026-03-01T01:20:08.539232+00:00,Gurugram,3727.26,2,9000354159
1,2026-06-11T02:21:01.084025+00:00,Noida,5916.27,2,9000628268
1,2026-04-06T13:46:32.546183+00:00,Indore,1440.93,3,9000667343
1,2026-04-16T17:55:34.356449+00:00,Hyderabad,4571.01,2,9000391543
1,2026-02-18T10:07:24.764106+00:00,Lucknow,3293.46,3,9000748081
1,2026-01-15T03:58:30.441145+00:00,Gurugram,872.94,3,9000750691
1,2026-02-13T16:58:24.981550+00:00,Chennai,1642.11,3,9000481014
1,2026-05-31T07:52:43.826460+00:00,Bengaluru,5983.88,2,9000748735
1,2026-03-04T12:09:07.575343+00:00,Lucknow,1440.38,3,9000297205
1,2026-01-03T10:47:33.423013+00:00,Gurugram,1663.13,3,9000070704
1,2026-05-29T17:48:05.059962+00:00,Chandigarh,2182.83,3,9000087355
1,2026-04-13T07:13:50.213140+00:00,Ahmedabad,5875.55,3,9000237766
1,2026-02-14T02:26:24.924903+00:00,Noida,1540.83,2,9000763423
1,2026-02-13T15:55:13.104597+00:00,Chennai,3669.87,3,9000424896
1,2026-01-11T15:39:34.981605+00:00,Indore,8362.49,3,9000421940
1,2026-01-05T21:47:25.343332+00:00,Hyderabad,7945.02,3,9000654061
1,2026-06-08T21:15:33.982959+00:00,Lucknow,8047.24,2,9000798251
1,2026-01-20T21:21:02.628125+00:00,Kolkata,5815.92,3,9000797424
1,2026-04-13T15:35:48.304373+00:00,Hyderabad,4575.37,2,9000786890
1,2026-05-05T14:10:49.038821+00:00,Mumbai,2947.54,3,9000473675
1,2026-02-24T07:51:21.653029+00:00,Chandigarh,7380.61,3,9000781482
1,2026-02-12T03:42:32.473344+00:00,Kolkata,4880.25,2,9000213150
1,2025-12-12T17:41:25.592556+00:00,Surat,8286.26,3,9000228571
1,2026-04-05T08:25:39.944925+00:00,Surat,6980.31,3,9000259523
1,2026-01-21T20:37:00.374972+00:00,Bengaluru,4914.17,2,9000276749
1,2026-03-24T05:57:39.322009+00:00,Gurugram,7946.77,2,9000068095
1,2026-03-06T10:59:53.764408+00:00,Surat,8629.75,2,9000249987
1,2026-02-07T00:59:22.935334+00:00,Noida,8887.57,2,9000267581
2,2026-03-11T14:03:58.030235+00:00,Ahmedabad,12235.279999999999,5,9000034085
1,2026-01-04T14:59:35.824843+00:00,Noida,3220.02,2,9000301606
1,2026-02-06T18:19:28.971264+00:00,Chandigarh,6973.64,3,9000400074
1,2026-05-02T00:49:39.219828+00:00,Chennai,7437.09,2,9000083542
1,2026-02-03T12:20:45.244606+00:00,Hyderabad,701.73,2,9000420547
1,2026-05-17T09:22:52.383063+00:00,Jaipur,6958.28,2,9000408291
1,2025-12-21T10:10:31.917060+00:00,Indore,6983.27,2,9000432934
1,2026-04-20T21:57:12.692210+00:00,Pune,3523.94,3,9000571282
1,2026-05-26T16:01:57.116849+00:00,Surat,4247.49,3,9000531476
1,2025-12-13T10:51:19.138543+00:00,Pune,5298.44,2,9000584099
1,2026-05-30T06:23:50.496669+00:00,Pune,3280.46,3,9000587357
1,2026-05-26T04:15:30.778826+00:00,Surat,7808.61,2,9000761682
1,2026-02-17T02:37:18.152263+00:00,Kolkata,5058.28,3,9000032557
1,2026-02-08T11:34:28.520432+00:00,Lucknow,2296.89,3,9000688919
1,2026-05-29T09:25:36.609507+00:00,Chennai,3678.93,2,9000243093
1,2026-06-06T07:14:27.666083+00:00,Indore,1917.3,3,9000455538
1,2026-05-13T03:35:45.066756+00:00,Mumbai,5304.99,3,9000580928
1,2026-03-11T07:09:37.647754+00:00,Lucknow,8144.39,3,9000775146
1,2026-04-18T17:36:23.620193+00:00,Indore,8643.26,2,9000798990
1,2026-03-01T08:09:12.004558+00:00,Bengaluru,7590.76,2,9000024136
1,2025-12-24T20:21:26.958597+00:00,Jaipur,2596.32,3,9000333324
2,2026-05-17T08:14:04.314581+00:00,Lucknow,9476.14,5,9000392050
1,2026-04-24T01:36:58.922691+00:00,Gurugram,1484.67,3,9000475660
1,2026-05-27T08:09:20.414236+00:00,Surat,8856.69,3,9000328985
1,2025-12-23T21:20:36.590686+00:00,Bengaluru,4282.69,2,9000025958
1,2026-03-21T18:55:09.501816+00:00,Chennai,5242.54,2,9000477753
1,2026-02-25T08:07:23.817744+00:00,Kolkata,4589.79,3,9000090982
1,2026-03-27T09:52:47.225260+00:00,Ahmedabad,7674.4,2,9000225427
1,2026-01-15T14:53:17.807411+00:00,Hyderabad,1252.28,2,9000461163
1,2026-02-05T12:10:15.791437+00:00,Bengaluru,2540.84,3,9000306590
1,2026-03-11T03:00:01.325748+00:00,Noida,5250.6,3,9000601056
1,2026-02-24T00:16:51.814772+00:00,Lucknow,2065.84,2,9000651557
1,2026-01-29T12:36:47.688391+00:00,Jaipur,7328.1,3,9000238776
1,2026-03-22T02:21:43.097750+00:00,Chandigarh,2192.25,3,9000599318
1,2026-03-06T15:20:48.228390+00:00,Indore,4986.73,2,9000347201
2,2026-04-12T11:21:08.978240+00:00,Noida,8190.23,5,9000629403
1,2026-05-22T23:07:53.414330+00:00,Lucknow,2892.9,2,9000533444
1,2026-02-14T14:50:52.097780+00:00,Lucknow,3777.24,2,9000632276
1,2026-03-23T06:55:29.753549+00:00,Ahmedabad,4812.29,2,9000703668
1,2026-05-14T01:29:31.322927+00:00,Hyderabad,933.58,3,9000760708
1,2026-01-30T08:45:41.290172+00:00,Gurugram,1813.91,3,9000154330
1,2026-03-21T13:42:06.577865+00:00,Delhi,2502.35,2,9000164654
1,2026-01-20T20:18:29.875620+00:00,Indore,6386.81,3,9000196259
1,2026-01-08T21:04:10.875016+00:00,Jaipur,8882.49,3,9000267577
1,2026-02-25T02:06:58.824942+00:00,Ahmedabad,6468.63,2,9000408260
1,2026-06-04T04:53:01.917351+00:00,Pune,5148.03,3,9000652224
1,2026-04-03T10:57:19.907852+00:00,Surat,5306.34,2,9000790245
1,2026-01-31T12:45:35.489683+00:00,Ahmedabad,8039.25,3,9000792901
1,2026-02-28T14:23:52.802286+00:00,Gurugram,4271.14,2,9000240661
1,2026-03-28T07:54:43.679544+00:00,Lucknow,5841.8,3,9000570426
2,2026-06-07T22:17:11.718635+00:00,Jaipur,13506.06,6,9000398456
2,2026-05-30T04:01:51.733544+00:00,Delhi,13016.45,6,9000606581
1,2026-02-06T08:04:13.238242+00:00,Pune,4824.91,2,9000575501
1,2026-03-04T23:50:40.118843+00:00,Jaipur,649.5,3,9000485592
1,2026-01-27T16:28:20.708737+00:00,Hyderabad,513.52,2,9000118131
1,2026-01-03T23:46:03.305273+00:00,Hyderabad,1116.31,2,9000068814
2,2026-05-09T20:17:28.780046+00:00,Pune,7371.320000000001,5,9000237580
1,2026-04-12T12:19:15.454082+00:00,Jaipur,4338.77,3,9000107220
1,2026-02-16T14:25:46.429700+00:00,Pune,3128.15,2,9000189950
1,2026-06-07T09:16:42.616149+00:00,Indore,7677.25,3,9000251757
1,2026-05-25T02:47:04.043013+00:00,Indore,775.22,3,9000761506
1,2026-01-28T18:33:05.040808+00:00,Gurugram,1195.25,2,9000343834
1,2026-01-22T18:32:48.216266+00:00,Lucknow,3621.13,2,9000793276
1,2026-04-06T02:46:50.796667+00:00,Gurugram,4059.31,3,9000228024
1,2026-02-11T21:42:29.242435+00:00,Gurugram,3907.25,2,9000001768
1,2026-06-07T06:39:37.588550+00:00,Noida,2620.88,3,9000435753
2,2026-05-01T04:38:57.786676+00:00,Kolkata,10379.83,5,9000039573
1,2026-05-20T14:45:06.272611+00:00,Pune,4128.14,2,9000042472
1,2026-03-15T12:32:16.388900+00:00,Chandigarh,2705.84,3,9000143138
1,2026-04-11T21:40:37.409613+00:00,Kolkata,8734.95,3,9000768066
1,2026-06-10T13:47:22.667430+00:00,Kolkata,7310.14,2,9000029757
1,2026-04-18T12:31:29.406880+00:00,Delhi,4904.28,3,9000684500
1,2026-05-09T23:59:27.916764+00:00,Chennai,6650.92,2,9000704050
1,2026-03-14T21:02:59.242644+00:00,Mumbai,2179.17,2,9000144018
1,2025-12-19T19:42:03.380118+00:00,Hyderabad,7189.54,2,9000505447
1,2026-05-14T03:20:22.741374+00:00,Bengaluru,2178.26,2,9000561524
1,2026-04-06T00:47:15.910422+00:00,Hyderabad,421.65,2,9000772168
1,2026-02-13T18:16:48.913530+00:00,Indore,3328.66,3,9000010824
1,2026-05-03T01:06:13.386306+00:00,Hyderabad,2297.33,3,9000271863
1,2026-06-08T08:09:58.074183+00:00,Jaipur,8724.56,2,9000115309
1,2025-12-15T15:36:42.195318+00:00,Jaipur,6026.24,3,9000299918
1,2026-05-18T01:19:05.285978+00:00,Surat,1589.05,3,9000278061
1,2026-02-23T07:34:50.408149+00:00,Indore,7105.23,3,9000341966
1,2026-05-10T12:54:38.342960+00:00,Noida,5709.03,3,9000201259
1,2025-12-29T19:49:17.295577+00:00,Bengaluru,5535.4,2,9000297461
1,2025-12-28T09:11:31.892164+00:00,Indore,8532.28,3,9000043221
1,2026-03-20T16:54:46.595815+00:00,Ahmedabad,5964.95,3,9000349099
1,2026-05-24T14:25:10.293000+00:00,Noida,7905.56,2,9000563535
1,2026-05-30T14:42:23.407265+00:00,Chandigarh,7015.97,3,9000152112
1,2026-02-27T19:50:53.831697+00:00,Jaipur,7262.71,3,9000336899
1,2026-04-01T02:25:48.606263+00:00,Delhi,1414.53,3,9000725021
1,2026-04-11T11:56:56.005914+00:00,Noida,6618.94,3,9000628359
1,2026-03-08T15:58:27.935778+00:00,Hyderabad,3969.78,3,9000048941
1,2026-05-11T09:46:43.799448+00:00,Noida,4569.75,3,9000421283
1,2025-12-18T22:49:32.319279+00:00,Chennai,2263.57,2,9000708028
1,2026-03-10T02:18:53.072218+00:00,Kolkata,3560.5,3,9000383533
1,2026-06-07T00:45:59.110063+00:00,Mumbai,1972.98,2,9000623560
1,2025-12-22T00:54:39.309284+00:00,Hyderabad,3395.71,2,9000330905
1,2026-05-24T04:16:42.185093+00:00,Gurugram,1604.33,2,9000387444
1,2026-04-26T10:31:38.079065+00:00,Delhi,1208.77,3,9000588888
1,2026-02-12T22:14:48.140967+00:00,Chennai,1237.94,3,9000170241
1,2026-02-08T01:56:49.249080+00:00,Lucknow,3056.89,3,9000636583
1,2026-05-18T13:58:01.429653+00:00,Delhi,4203.66,3,9000239608
1,2026-01-04T10:05:20.501189+00:00,Chennai,2991.13,3,9000041038
1,2026-01-23T14:59:40.349669+00:00,Mumbai,5240.98,3,9000188677
1,2026-01-21T11:35:04.522375+00:00,Mumbai,8558.83,2,9000322317
1,2026-04-10T22:00:59.643607+00:00,Pune,2231.32,2,9000215218
1,2026-03-07T08:58:37.933595+00:00,Lucknow,2185.48,2,9000479066
1,2025-12-13T19:52:13.867085+00:00,Hyderabad,8978.35,3,9000520922
2,2026-06-01T20:02:09.247361+00:00,Ahmedabad,10397.18,5,9000577485
1,2026-04-20T15:19:44.527416+00:00,Indore,8489.37,2,9000093795
1,2026-04-17T03:29:42.718153+00:00,Ahmedabad,2711.83,2,9000549254
1,2026-02-02T21:42:11.392772+00:00,Bengaluru,2381.47,2,9000485301
1,2026-02-26T06:55:47.176617+00:00,Delhi,7402.35,3,9000100106
1,2026-03-09T22:12:54.442277+00:00,Bengaluru,3185.88,3,9000709777
1,2026-01-29T01:45:00.955748+00:00,Pune,6394.47,3,9000324910
1,2026-03-05T16:59:16.155955+00:00,Chennai,6818.92,3,9000054120
1,2025-12-21T03:58:09.326567+00:00,Surat,7480.21,3,9000289707
1,2026-03-21T12:56:32.294729+00:00,Noida,4976.17,2,9000569384
1,2026-04-13T10:40:59.694271+00:00,Bengaluru,6899.78,3,9000688395
1,2025-12-30T13:50:45.827900+00:00,Surat,8526.91,3,9000735459
1,2026-05-09T02:48:41.023200+00:00,Surat,4496.84,3,9000396265
1,2026-04-24T22:14:17.104564+00:00,Lucknow,8348.25,3,9000536455
1,2026-02-28T08:01:31.824733+00:00,Surat,1419.34,3,9000610705
1,2026-05-13T19:14:04.980244+00:00,Kolkata,2807.29,2,9000748686
1,2026-03-02T00:20:27.168465+00:00,Noida,6348.86,3,9000753509
1,2026-01-31T23:56:39.679628+00:00,Surat,6991.06,2,9000651974
1,2026-06-10T18:26:43.662762+00:00,Kolkata,2078.76,2,9000357297
1,2026-04-18T23:45:22.391361+00:00,Mumbai,2274.74,2,9000149174
1,2026-02-25T15:34:49.409289+00:00,Hyderabad,5233.22,3,9000735334
1,2026-01-24T22:50:34.660140+00:00,Chandigarh,6001.71,2,9000002439
1,2026-03-01T17:37:11.516068+00:00,Noida,6908.69,3,9000073780
1,2026-02-18T03:08:47.041806+00:00,Delhi,6904.1,3,9000563941
2,2026-06-09T12:59:55.038582+00:00,Lucknow,10593.849999999999,5,9000641373
1,2026-03-17T15:22:13.309789+00:00,Surat,7776.64,3,9000205548
1,2026-03-31T14:39:16.989816+00:00,Pune,1448.56,3,9000218657
1,2026-02-09T05:22:47.799281+00:00,Lucknow,7780.76,3,9000720414
1,2026-02-08T10:59:08.285042+00:00,Hyderabad,5639.85,2,9000726565
